app_name,joint_lifespan,expected_revenue,apple_price,play_price,apple_genre,play_genre,apple_purchase_price,play_purchase_price,,,,
LinkedIn,17,1020000,0,0,Social Networking,Social,10000,10000,,,,
Mobile Strike,17,1020000,0,0,Games,Strategy,10000,10000,,,,
NBC News,17,1020000,0,0,News,News & Magazines,10000,10000,,,,
NHL,17,1020000,0,0,Sports,Sports,10000,10000,,,,
Nick,17,1020000,0,0,Entertainment,Entertainment;Music & Video,10000,10000,,,,
PBS KIDS Video,17,1020000,0,0,Education,Education;Music & Video,10000,10000,,,,
Timehop,17,1020000,0,0,Social Networking,Social,10000,10000,,,,
Tinder,17,1020000,0,0,Lifestyle,Lifestyle,10000,10000,,,,
Uber Driver,17,1020000,0,0,Business,Business,10000,10000,,,,
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",17,1020000,0,0,Sports,Sports,10000,10000,,,,
USA TODAY,17,1020000,0,0,News,News & Magazines,10000,10000,,,,
Wells Fargo Mobile,17,1020000,0,0,Finance,Finance,10000,10000,,,,
Whataburger,17,1020000,0,0,Food & Drink,Food & Drink,10000,10000,,,,
YouNow: Live Stream Video Chat,17,1020000,0,0,Social Networking,Social,10000,10000,,,,
Epson iPrint,16,960000,0,0,Photo & Video,Tools,10000,10000,,,,
Mad Libs,16,960000,0,0,Entertainment,Entertainment;Brain Games,10000,10000,,,,
Messenger,16,960000,0,0,Social Networking,Social,10000,10000,,,,
PAC-MAN,16,960000,0,0,Games,Arcade,10000,10000,,,,
Pokémon GO,16,960000,0,0,Games,Adventure,10000,10000,,,,
Redbox,16,960000,0,0,Entertainment,Entertainment,10000,10000,,,,
Sky News,16,960000,0,0,News,News & Magazines,10000,10000,,,,
Southwest Airlines,16,960000,0,0,Travel,Travel & Local,10000,10000,,,,
Thomas & Friends: Race On!,16,960000,0,0,Games,Casual;Action & Adventure,10000,10000,,,,
Uber,16,960000,0,0,Travel,Maps & Navigation,10000,10000,,,,
Battlefield™ Companion,15,900000,0,0,Social Networking,Action,10000,10000,,,,
BET NOW - Watch Shows,15,900000,0,0,Entertainment,Entertainment,10000,10000,,,,
Fly Delta,15,900000,0,0,Travel,Travel & Local,10000,10000,,,,
Google Play Movies & TV,15,900000,0,0,Entertainment,Video Players & Editors,10000,10000,,,,
H&M,15,900000,0,0,Shopping,Lifestyle,10000,10000,,,,
MTV,15,900000,0,0,Entertainment,Entertainment,10000,10000,,,,
myAT&T,15,900000,0,0,Utilities,Productivity,10000,10000,,,,
NFL,15,900000,0,0,Sports,Sports,10000,10000,,,,
SHOWTIME,15,900000,0,0,Entertainment,Entertainment,10000,10000,,,,
Snapchat,15,900000,0,0,Photo & Video,Social,10000,10000,,,,
T-Mobile Tuesdays,15,900000,0,0,Lifestyle,Lifestyle,10000,10000,,,,
U by BB&T,15,900000,0,0,Finance,Finance,10000,10000,,,,
NCAA Sports,14,840000,0,0,Sports,Sports,10000,10000,,,,
Super Mario Run,14,840000,0,0,Games,Action,10000,10000,,,,
United Airlines,14,840000,0,0,Travel,Travel & Local,10000,10000,,,,
AirWatch Agent,13,780000,0,0,Business,Business,10000,10000,,,,
McDonald's,13,780000,0,0,Food & Drink,Food & Drink,10000,10000,,,,
My College Bookstore,13,780000,0,0,Shopping,Shopping,10000,10000,,,,
myChevrolet,13,780000,0,0,Lifestyle,Lifestyle,10000,10000,,,,
NBC Sports,13,780000,0,0,Sports,Sports,10000,10000,,,,
AMC,12,720000,0,0,Entertainment,Entertainment,10000,10000,,,,
SNCF,12,720000,0,0,Travel,Travel & Local,10000,10000,,,,
Philips Hue,11,660000,0,0,Lifestyle,Lifestyle,10000,10000,,,,
Cytus,21,1260000,1.99,0,Games,Music,19900,10000,,,,
Dragon Hills,20,1200000,1.99,0,Games,Action,19900,10000,,,,
Earn to Die 2,20,1200000,1.99,0,Games,Racing,19900,10000,,,,
Fruit Ninja Classic,20,1200000,1.99,0.99,Games,Arcade,19900,10000,,,,
Can Knockdown 3,19,1140000,1.99,0,Games,Arcade,19900,10000,,,,
Toca Kitchen 2,20,1200000,2.99,0,Education,Educational;Pretend Play,29900,10000,,,,
Vikings: an Archer's Journey,20,1200000,2.99,0,Games,Action,29900,10000,,,,
Storm Shield,18,1080000,2.99,0,Weather,Weather,29900,10000,,,,
Alto's Adventure,20,1200000,4.99,0,Games,Action,49900,10000,,,,
Hitman GO,20,1200000,4.99,0.99,Games,Puzzle,49900,10000,,,,
"sugar, sugar",19,1140000,0.99,1.2,Games,Puzzle,10000,12000,,,,
H*nest Meditation,21,1260000,1.99,1.99,Entertainment,Lifestyle,19900,19900,,,,
AJ Jump: Animal Jam Kangaroos!,20,1200000,1.99,1.99,Games,Arcade,19900,19900,,,,
Where's My Water?,20,1200000,1.99,1.99,Games,Puzzle;Brain Games,19900,19900,,,,
True Skate,19,1140000,1.99,1.99,Games,Sports,19900,19900,,,,
Assassin's Creed Identity,17,1020000,4.99,1.99,Games,Action,49900,19900,,,,
Peppa Pig: Party Time,14,840000,0.99,2.99,Education,Educational;Pretend Play,10000,29900,,,,
Out There Chronicles - Ep. 1,19,1140000,1.99,2.99,Games,Role Playing,19900,29900,,,,
"Alizay, pirate girl",20,1200000,2.99,2.99,Book,Casual;Action & Adventure,29900,29900,,,,
Bloons TD 5,20,1200000,2.99,2.99,Games,Strategy,29900,29900,,,,
Five Nights at Freddy's,20,1200000,2.99,2.99,Games,Action,29900,29900,,,,
Five Nights at Freddy's 2,20,1200000,2.99,2.99,Games,Strategy,29900,29900,,,,
Five Nights at Freddy's 3,20,1200000,2.99,2.99,Games,Action,29900,29900,,,,
Pocket Yoga,20,1200000,2.99,2.99,Health & Fitness,Health & Fitness,29900,29900,,,,
Riptide GP: Renegade,20,1200000,2.99,2.99,Games,Racing,29900,29900,,,,
The Game of Life,20,1200000,2.99,2.99,Games,Board,29900,29900,,,,
Threema,20,1200000,2.99,2.99,Social Networking,Communication,29900,29900,,,,
Tsuro - The Game of the Path,20,1200000,2.99,2.99,Games,Board;Brain Games,29900,29900,,,,
Dr. Panda Hospital,19,1140000,2.99,2.99,Education,Education;Pretend Play,29900,29900,,,,
